business_uuid,date_won,city,business_type,sub_group,partner_pos
1441080511293-5ce45dcd-b3ce-4dd9-9e6d-4047a6674d85,9/17/2015,Cape Town,sole_proprietor,Retail,0
1443451760034-b317d70b-47b3-44cc-8238-bc93474e0d50,9/28/2015,Randburg,sole_proprietor,"Food, Drink & Hospitality",0
1446269527540-68231650-1320-4ff9-943f-28412f8b9073,11/6/2015,Cape Town,sole_proprietor,Retail,0
1446732341500-16b51c71-bf68-428d-a198-b63a8a978043,11/12/2015,Cape Town,sole_proprietor,Retail,0
1407937721690-22878388-e481-46cb-8384-5dea165864f7,1/14/2015,Cape Town,,"Food, drink and hospitality",0
1411120534868-d0e07e18-26b7-4e26-a0f3-45736855c3cd,4/1/2015,Claremont,company,"Healthcare, beauty and fitness",0
1413229685934-2736f63b-6a6c-40a2-9d7a-2f479cc3a890,2/24/2015,Cape Town,,Professional services,0
1414229837135-05cd5b05-3234-46df-9eb3-37f985b5f7a2,3/30/2015,Cape Town,company,Personal services,0
1418589806521-9caf4317-1b5d-47cf-a5f7-8385ea2158be,2/25/2015,Cape Town,,"Healthcare, beauty and fitness",0
1417541600310-062cad22-d0cd-4a7c-a22d-d8ed78959f18,2/1/2015,Cape Town,company,Leisure and entertainment,1
1416991968075-1e231c80-b8de-47c6-9612-9feb7504a3b9,1/12/2015,Cape Town,,Professional services,1
1420722276499-fd9bf0df-dedf-40e5-8666-82d19b5f51c5,1/15/2015,Cape Town,,"Food, drink and hospitality",0
1420605018162-45e4ba4f-802b-45de-a679-bd6348373537,1/16/2015,Cape Town,,Online,0
1421221986332-f5f14c2c-6a57-443c-8197-113c68f1ef4b,1/23/2015,Cape Town,,Professional services,0
1421324996122-3b8c66c5-ed7c-4cd3-be70-00a21c525d46,1/23/2015,Cape Town,,"Food, drink and hospitality",1
1421419812371-8c8c42be-c0bb-4f35-80cf-73dcf91399e6,1/26/2015,Cape Town,,"Food, drink and hospitality",1
1421419812371-8c8c42be-c0bb-4f35-80cf-73dcf91399e6,1/26/2015,Cape Town,,"Food, drink and hospitality",1
1421403907318-b5603f46-5343-401f-a7b2-4d1f1290f010,2/26/2015,Cape Town,,Retail,0
1422897141317-dbc1a39b-e321-453e-ba0b-05e32de042d8,2/10/2015,Cape Town,,Home and repair,0
1422897141317-dbc1a39b-e321-453e-ba0b-05e32de042d8,2/10/2015,Cape Town,,Professional services,0
1422263726412-11064d9c-9616-4ded-bd63-7cd0e01863bf,2/27/2015,Cape Town,,Retail,0
1422713364851-c5c0cb5c-fd24-4dcd-bb48-8df7fcbc26c3,4/16/2015,Somerset West,,Travel and tourism,0
