,business_uuid,latest_trans_date,date_won,second_latest_trans_date,days_since_purchase,churn,age,transactions,total_approved,revenue,Average_purchase,customer_value,customer_lifetime_val,city,sub_group
0,1406276528708-f8212391-f625-47cd-a108-dbf13c4a82b9,2015-11-11,2015-01-01,2015-06-09,155 days,No,314,3,1515.68,15.16,5.05,157.64,14343.74,Cape Town,"Food, Drink & Hospitality"
1,1407937721690-22878388-e481-46cb-8384-5dea165864f7,2015-12-18,2015-01-14,2015-12-16,2 days,No,338,40,8985.0,89.85,2.25,70.23,6113.02,Cape Town,"Food, Drink & Hospitality"
2,1408597458035-ae9b4dc2-37a2-43b3-8410-834feb1930ab,2015-12-26,2015-01-01,2015-12-24,2 days,No,359,198,20595.0,205.95,1.04,32.46,2556.51,Cape Town,"Food, Drink & Hospitality"
3,1408653254676-abd0c2bb-f33c-42f0-a4c0-aa09011e13e0,2015-10-01,2015-01-01,2015-08-24,38 days,No,273,18,7360.0,73.6,4.09,127.67,11521.7,Cape Town,"Food, Drink & Hospitality"
4,1409234980651-de3fff31-3d87-47e4-bb1a-12beafcdba61,2015-12-22,2015-01-01,2015-12-22,0 days,No,355,42,11223.0,112.23,2.67,83.34,7347.48,Cape Town,"Food, Drink & Hospitality"
5,1409908058188-55c15510-480c-4a6c-a470-b4a1e5006cc0,2015-12-23,2015-01-01,2015-10-22,62 days,No,356,10,9299.99,93.0,9.3,290.3,26835.31,Cape Town,"Food, Drink & Hospitality"
6,1411120534868-d0e07e18-26b7-4e26-a0f3-45736855c3cd,2015-11-11,2015-04-01,2015-06-26,138 days,No,224,2,3348.0,33.48,16.74,522.54,48703.55,Claremont,"Healthcare, beauty and fitness"
7,1412941920235-309e274b-c95b-49f1-8a78-307238281817,2015-12-17,2015-01-01,2015-12-17,0 days,No,350,132,2886.25,28.86,0.22,6.87,146.89,Cape Town,"Food, Drink & Hospitality"
8,1413213171217-be88b1f4-ae0d-46c9-9210-ab72e2d5c666,2015-12-17,2015-01-01,2015-12-17,0 days,No,350,443,209411.29,2094.11,4.73,147.65,13403.06,Cape Town,"Food, Drink & Hospitality"
9,1413229685934-2736f63b-6a6c-40a2-9d7a-2f479cc3a890,2015-07-13,2015-02-24,2015-06-01,42 days,No,139,6,115.46,1.15,0.19,5.93,58.38,Cape Town,Professional services
10,1413882567453-266138e0-9de6-473b-a608-9ba540cf4223,2015-10-21,2015-01-01,2015-01-01,293 days,Yes,293,1,950.0,9.5,9.5,296.54,27422.88,Cape Town,"Food, Drink & Hospitality"
11,1414210100745-0283bd58-420c-4436-94bb-06090cbe1066,2015-12-30,2015-01-01,2015-12-29,1 days,No,363,94,6440.6,64.41,0.69,21.54,1528.26,Cape Town,"Food, Drink & Hospitality"
12,1414229837135-05cd5b05-3234-46df-9eb3-37f985b5f7a2,2015-12-22,2015-03-30,2015-10-07,76 days,No,267,16,10880.0,108.8,6.8,212.26,19486.88,Cape Town,Personal services
13,1414396819667-343bc1de-1856-4dbd-ba05-6ce80195ca97,2015-11-07,2015-01-01,2015-11-07,0 days,No,310,10,16517.0,165.17,16.52,515.67,48056.66,Cape Town,"Food, Drink & Hospitality"
14,1414586891563-94a97020-f4a3-4f86-91ac-6487833f2222,2015-12-19,2015-01-01,2015-12-18,1 days,No,352,129,74220.0,742.2,5.75,179.49,16401.19,Cape Town,"Food, Drink & Hospitality"
15,1414682044257-0008fd31-8844-4af8-ae90-dc2053826c7d,2015-09-01,2015-01-01,2015-03-10,175 days,No,243,42,3220.0,32.2,0.77,24.04,1763.66,Cape Town,"Food, Drink & Hospitality"
16,1416917294576-cd44ec82-4a59-4893-b376-1f367134fc4c,2015-12-11,2015-01-01,2015-12-07,4 days,No,344,13,2918.0,29.18,2.24,69.92,6083.83,Cape Town,"Food, Drink & Hospitality"
