transaction_uuid,business_uuid,created,transaction_type,amount_usd,transaction_state,processing_time,phone_type,reader_type,connection_type
1424437465609-285a18be-f2fa-4d4c-a2ef-3bef9f3e05ab,1409234980651-de3fff31-3d87-47e4-bb1a-12beafcdba61,2015-02-20 13:04:25.607+00,credit_card,60,approved,18.68068,,,
1444994656054-91a37566-c9ce-435a-ae8f-5f9aeb2770f5,1431433133107-089d14c3-5435-4b33-9973-70e2c0ff95bc,2015-10-16 11:24:16.052+00,credit_card,220,approved,16.37625,ios,E105,WiFi
1451311977458-d794c535-d696-4830-b4b6-93c52ca5d3cd,1442575726431-a066cad9-8f66-45da-abd8-165ce0a70d33,2015-12-28 14:12:57.455+00,credit_card,90,approved,13.51605,ios,E105,WiFi
1444763353752-bac376b0-80d9-46f5-9e21-9def71ee6a03,1436133508444-8d874705-6448-4d8d-88e0-5b0f8f4c321c,2015-10-13 19:09:13.75+00,credit_card,135,approved,15.06118,ios,M010,WiFi
1449883535047-1a9e1d5e-6151-4593-86db-bf504ab7c363,1436123092750-68fb87cc-d43b-4468-9137-2841db30f9c6,2015-12-12 01:25:35.047+00,credit_card,162,approved,14.81583,ios,M010,WiFi
1445282457328-94eb7ffb-14c7-48fe-b10f-abdadcf02c3c,1431433133107-089d14c3-5435-4b33-9973-70e2c0ff95bc,2015-10-19 19:20:57.326+00,credit_card,427,aborted,12.16938,ios,E105,WiFi
1436089984929-37f9362f-a4b7-4092-9f76-d45e447a79bb,1431433133107-089d14c3-5435-4b33-9973-70e2c0ff95bc,2015-07-05 09:53:04.927+00,credit_card,145,approved,16.29381,,,
1438060492782-ea30db6b-be65-4d4c-a7d9-c6efe47457c2,1434354856779-1294da8e-95cd-4594-a337-eb1b461bcf9c,2015-07-28 05:14:52.78+00,credit_card,39,approved,15.25409,,,
1432304404374-7d6f52c6-b6e1-44e2-bf30-79b24115ac5a,1424869704616-f6183d7b-1482-46ca-87e5-461aeec25da4,2015-05-22 14:20:04.372+00,credit_card,10,approved,15.88767,,,
1444402318774-22a8dda7-2423-475a-994d-aaea95719073,1443443143895-d23c7c27-416b-41eb-9d6d-2f6b409a22c4,2015-10-09 14:51:58.772+00,credit_card,63,error,4.509727,ios,E105,WiFi
1427711746123-1133cea0-5cee-4124-80c9-e9d41c9da534,1414229837135-05cd5b05-3234-46df-9eb3-37f985b5f7a2,2015-03-30 10:35:46.123+00,refund,-110,approved,,,,
1438528090681-052dd447-37a2-4d75-8ce5-c82c359490b0,1424869704616-f6183d7b-1482-46ca-87e5-461aeec25da4,2015-08-02 15:08:10.679+00,credit_card,340,approved,13.23829,,,
1431691110261-c5dc3d0a-455f-4116-9ea7-9ce1910de66c,1413213171217-be88b1f4-ae0d-46c9-9210-ab72e2d5c666,2015-05-15 11:58:30.259+00,credit_card,2,refunded,20.03722,,,
1443442493283-712ab1d2-9833-4df9-a4f7-fe6bbd4b4db4,1433319623496-f6231f02-a6f4-4360-a556-eb1ca83b9f8c,2015-09-28 12:14:53.281+00,credit_card,376,approved,22.93953,ios,M010,WiFi
1446672997695-cc030899-07aa-49ca-83cf-1443aaf10d88,1434445056707-89357d1e-8f04-44fc-8803-45353fc29abe,2015-11-04 21:36:37.693+00,credit_card,770,approved,11.74929,ios,M010,WiFi
1447159120259-624e3fb9-ec3b-4362-b414-b5f332cdeab5,1428425695825-8ac79751-fcdf-4087-b620-60d0ab93e4f3,2015-11-10 12:38:40.257+00,credit_card,104,approved,15.45474,ios,SHUTTLE,WiFi
1448636713993-c3378e50-c3ea-498e-b469-ecd810e84718,1434354856779-1294da8e-95cd-4594-a337-eb1b461bcf9c,2015-11-27 15:05:13.993+00,credit_card,35,approved,20.34843,ios,M010,WiFi
1448723698593-f99b0e8f-5d0e-4520-abac-7e4f1eeb50da,1436133508444-8d874705-6448-4d8d-88e0-5b0f8f4c321c,2015-11-28 15:14:58.593+00,credit_card,374,approved,19.3597,ios,M010,WiFi
1450517651248-3bd6a38e-0ce0-4f35-bf6f-041559a30140,1444217285630-48dbbbb2-4f77-4356-80b3-ae45c63ac9f8,2015-12-19 09:34:11.247+00,credit_card,930,approved,10.65732,ios,M010,3G
1450629902269-5d9bc32b-63d1-457c-8d7f-99f752def9ee,1432022024429-0455c641-f0d5-481b-83c9-b05da6450ec5,2015-12-20 16:45:02.268+00,credit_card,44.9,aborted,6.018496,ios,M010,WiFi
1442512195497-2d1ed968-93d8-42c8-ae98-ea982987bb9d,1430395991314-744d30ea-77ea-4302-8661-938a5ecfb864,2015-09-17 17:49:55.496+00,credit_card,155,approved,24.89419,ios,M010,WiFi
1448448803603-9718fe17-8a92-4711-b1b1-d510cae3b181,1436257213706-7546a0d1-5b56-478e-80fa-ae77d771830e,2015-11-25 10:53:23.603+00,credit_card,800,approved,14.78278,ios,E105,3G
1440493202758-ff27caee-5273-4545-b2af-09e7de9bf2dd,1434354856779-1294da8e-95cd-4594-a337-eb1b461bcf9c,2015-08-25 09:00:02.756+00,credit_card,160,approved,12.93313,,,
1438693158589-f7a0e952-ad53-46af-8ef5-a8b1a6c4fe59,1435577878589-3a524f38-032f-4491-bfa0-4a5647ccec64,2015-08-04 12:59:18.587+00,credit_card,110,approved,13.35357,,,
1448088297675-368b7ffd-90b4-44f3-9d7d-51644fc330bd,1423729367094-337ac28c-dae5-4960-afab-19133561c17e,2015-11-21 06:44:57.675+00,credit_card,720,approved,11.7371,ios,E105,WiFi
1432376590749-a40c75f0-6d3e-4729-8a39-e1d67674bcfd,1428417731410-536dabfa-ffd7-4f94-99d4-7c634629aeb4,2015-05-23 10:23:10.747+00,credit_card,200,approved,18.88211,,,
1443350442040-2d3daff5-6fc0-4db0-9a62-2efa27f6af9a,1434699019562-8c733b2b-bcd2-45a1-b55e-42bb83ccdb99,2015-09-27 10:40:42.038+00,credit_card,60,approved,16.19558,ios,E105,3G
1444124620597-45aa61b6-d915-46b9-b782-19d3eb0829f7,1440501642610-9670200e-7971-4b71-87f1-e6c65249bf39,2015-10-06 09:43:40.595+00,credit_card,60,approved,12.60735,ios,M010,WiFi
1449088709626-4a30bd89-9de0-4d5f-8673-c8e8d74610a3,1436133508444-8d874705-6448-4d8d-88e0-5b0f8f4c321c,2015-12-02 20:38:29.626+00,credit_card,275,approved,20.7683,ios,M010,WiFi
1441460042872-62763bf3-ce37-48f1-b2d1-c8de8e8b1b96,1434729694021-714fe9df-a366-4d84-b713-9564bd748931,2015-09-05 13:34:02.87+00,credit_card,209,approved,13.37053,ios,M010,WiFi
1443687676187-45f4ffdd-deaa-4413-98c8-47e5afa443f6,1442563881963-a3393331-cf28-48b7-b31d-347b1b000533,2015-10-01 08:21:16.185+00,credit_card,225,approved,32.94917,ios,M010,WiFi
1447754632492-9ffbd56f-a34b-4a6f-95b4-ca6a1811c24b,1442218938461-45ea11f8-11bc-4865-92c5-300dfb8f7569,2015-11-17 10:03:52.492+00,credit_card,1590,approved,36.826,android,M010,Wi-Fi
